Barrel-roll-SMDPCB,,,,,,,,,
Reference,Qty,Part,Footprint,Supplier ,Unit Price,Total Price,Weight,SubTotal:,$234.90
U1,1,XIAO-RP2040-DIP,Seeed Studio XIAO Series Library:XIAO-RP2040-DIP,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html,$3.99,$3.99,,Shipping:,$35.37
U2,1,DRV8833PW,Package_DIP:DIP-16_W7.62mm,https://www.pololu.com/product/2130/resources,$10.95,$10.95,,Tax:,$4.05
U3,1,WeaponMotor,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,https://itgresa.com/product/d2822-8-brushless-motor-outrunner/,$15.49,$15.49,,Total:,$195.32
U4,1,Recever,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,https://radiomasterrc.com/collections/elrs-receivers/products/xr1-nano-multi-frequency-expresslrs-receiverr,$11.99,$11.99,,Hours Required:,39.06
n/a,2,Bearings,n/a,https://www.aliexpress.us/item/2271799817221155.html?spm=a2g0o.productlist.main.9.6bf0uxmMuxmMSm&algo_pvid=0084ef23-d777-4396-9fe6-be60675d223d&algo_exp_id=0084ef23-d777-4396-9fe6-be60675d223d-8&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.46%216.48%21%21%217.46%216.48%21%402101df0e17764670198046154ec5ac%2130000000002742954%21sea%21US%217446788148%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=5TuNOIFeizbl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A20000003535907%7C_p_origin_prod%3A#nav-descriptionn,$0.65,$1.30,,,
n/a,1,Shaft,n/a,https://www.aliexpress.us/item/3256805290944526.html?spm=a2g0o.productlist.main.5.a97817abGkl4fC&algo_pvid=8facb9d5-b650-4910-bfe5-7eef344e1a3e&algo_exp_id=8facb9d5-b650-4910-bfe5-7eef344e1a3e-4&pdp_ext_f=%7B%22order%22%3A%225182%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.24%210.99%21%21%2115.22%216.72%21%402101d49617762880052348351e8e1e%2112000033239843707%21sea%21US%217446788148%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000203520907&curPageLogUid=UdRs5Z1uZKiS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005477259278%7C_p_origin_prod%3A,$0.99,$0.99,,,
n/a,1,Heatset Inserts,n/a,https://www.aliexpress.us/item/3256807895940353.html?spm=a2g0o.productlist.main.3.378a2b87TJWseJ&algo_pvid=cb9b5ad6-0812-433b-a087-e997f40934de&algo_exp_id=cb9b5ad6-0812-433b-a087-e997f40934de-2&pdp_ext_f=%7B%22order%22%3A%2247%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.32%210.99%21%21%2143.01%216.75%21%40210319b017770882801392451e0fb5%2112000043603738991%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000203712600&curPageLogUid=BxN9cLGVkdYJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008082255105%7C_p_origin_prod%3A,$0.99,$0.99,,,
n/a,1,LIPO battery,Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm,https://www.racedayquads.com/products/rdq-series-11-4v-3s-720mah-100c-lihv-whoopmicro-battery-xt30,$18.49,$18.49,,,
XT1,1,XT60,Connector_AMASS:AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,https://www.pololu.com/product/2175,$2.95,$2.95,,,
n/a,2,N20 Motor,dc_motor,https://www.aliexpress.us/item/2255800106854951.html?spm=a2g0o.productlist.main.3.6ff81309X4dR8R&algo_pvid=1a67f37e-ad1e-40d9-b14f-8bf3408c6830&algo_exp_id=1a67f37e-ad1e-40d9-b14f-8bf3408c6830-2&pdp_ext_f=%7B%22order%22%3A%22587%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.21%210.99%21%21%216.21%210.99%21%402101e2b617771756833746186e93f0%2110000001217668253%21sea%21US%217446788148%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000203545005&curPageLogUid=DiJwBbgZZ32D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000293169703%7C_p_origin_prod%3A,0.99,$1.98,,,
n/a,1,PCB,n/a,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006,$2.10,$2.10,,,
n/a,1,Weapon Motor Screws,n/a,https://www.homedepot.com/p/Everbilt-M3-0-5-x-12mm-Zinc-Flat-Head-Phillips-Drive-Machine-Screw-4-Pieces-837751/321071710,$1.95,$1.95,,,
n/a,4,Drive Motor Screw,n/a,https://www.metricscrews.us/index.php?main_page=product_info&cPath=98_290_337&products_id=12400,$0.65,$2.60,,,
n/a,1,Timing Belt,n/a,https://www.aliexpress.us/item/3256806230097622.html?spm=a2g0o.productlist.main.10.3c36c687BV1lAt&algo_pvid=63b5e2b7-b8a0-4ad5-994f-bdfc497c8ff9&algo_exp_id=63b5e2b7-b8a0-4ad5-994f-bdfc497c8ff9-9&pdp_ext_f=%7B%22order%22%3A%22223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.37%210.99%21%21%2122.92%216.72%21%402101d6fe17775973201908345e0a8a%2112000037088879424%21sea%21US%217446788148%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000203520967&curPageLogUid=Dl3947EX6SHI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006416412374%7C_p_origin_prod%3A,$3.23,$3.23,,,
Barrel-roll-nopcb,,,,,,,,,
Reference,Qty,Part,Footprint,Supplier ,Unit Price,Total Price,,SubTotal:,$76.91
U1,1,XIAO-RP2040-DIP,DOIT Esp32 devkit v1,https://www.aliexpress.us/item/3256805168037961.html?spm=a2g0o.productlist.main.1.65484FTA4FTArG&algo_pvid=d1728d58-156f-4be9-9d76-2cfeae9add3a&algo_exp_id=d1728d58-156f-4be9-9d76-2cfeae9add3a-0&pdp_ext_f=%7B%22order%22%3A%226%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%2119.50%2112.09%21%21%2121.55%2113.36%21%40211b80d117482125777598923e5f1f%2112000032724580881%21sea%21BE%214162170654%21X&curPageLogUid=5MpwdTl1HOht&utparam-url=scene%3Asearch%7Cquery_from%3A&aff_fcid=36da6fd16afa4622bbe8a19f07bf69f1-1777175912095-08109-_oC9yCzg&tt=CPS_NORMAL&aff_fsk=_oC9yCzg&aff_platform=portals-tool&sk=_oC9yCzg&aff_trace_key=36da6fd16afa4622bbe8a19f07bf69f1-1777175912095-08109-_oC9yCzg&terminal_id=b5bfa7e20bae4883861ea28de955c382&afSmartRedirect=y&gatewayAdapt=deu2usa4itemAdapt,$4.00,$4.00,,Shipping:,$35.37
U2,1,DRV8833PW,Package_DIP:DIP-16_W7.62mm,https://www.pololu.com/product/2130/resources,$10.95,$10.95,,Tax:,$4.05
U3,1,WeaponMotor,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,https://itgresa.com/product/d2822-8-brushless-motor-outrunner/,$15.49,$15.49,,Total:,$116.33
U4,1,Recever,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,https://radiomasterrc.com/collections/elrs-receivers/products/xr1-nano-multi-frequency-expresslrs-receiverr,$11.99,$11.99,,Hours Required:,23.27
n/a,2,Bearings,n/a,https://www.aliexpress.us/item/2271799817221155.html?spm=a2g0o.productlist.main.9.6bf0uxmMuxmMSm&algo_pvid=0084ef23-d777-4396-9fe6-be60675d223d&algo_exp_id=0084ef23-d777-4396-9fe6-be60675d223d-8&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.46%216.48%21%21%217.46%216.48%21%402101df0e17764670198046154ec5ac%2130000000002742954%21sea%21US%217446788148%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=5TuNOIFeizbl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A20000003535907%7C_p_origin_prod%3A#nav-descriptionn,$0.65,$1.30,,,
n/a,1,Shaft,n/a,https://www.aliexpress.us/item/3256805290944526.html?spm=a2g0o.productlist.main.5.a97817abGkl4fC&algo_pvid=8facb9d5-b650-4910-bfe5-7eef344e1a3e&algo_exp_id=8facb9d5-b650-4910-bfe5-7eef344e1a3e-4&pdp_ext_f=%7B%22order%22%3A%225182%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.24%210.99%21%21%2115.22%216.72%21%402101d49617762880052348351e8e1e%2112000033239843707%21sea%21US%217446788148%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000203520907&curPageLogUid=UdRs5Z1uZKiS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005477259278%7C_p_origin_prod%3A,$0.99,$0.99,,,
n/a,1,Heatset Inserts,n/a,https://www.aliexpress.us/item/3256807895940353.html?spm=a2g0o.productlist.main.3.378a2b87TJWseJ&algo_pvid=cb9b5ad6-0812-433b-a087-e997f40934de&algo_exp_id=cb9b5ad6-0812-433b-a087-e997f40934de-2&pdp_ext_f=%7B%22order%22%3A%2247%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.32%210.99%21%21%2143.01%216.75%21%40210319b017770882801392451e0fb5%2112000043603738991%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000203712600&curPageLogUid=BxN9cLGVkdYJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008082255105%7C_p_origin_prod%3A,$0.99,$0.99,,,
n/a,1,LIPO battery,Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm,https://www.racedayquads.com/products/rdq-series-11-4v-3s-720mah-100c-lihv-whoopmicro-battery-xt30,$18.49,$18.49,,,
XT1,1,XT60,Connector_AMASS:AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,https://www.pololu.com/product/2175,$2.95,$2.95,,,
n/a,2,N20 Motor,dc_motor,https://www.aliexpress.us/item/2255800106854951.html?spm=a2g0o.productlist.main.3.6ff81309X4dR8R&algo_pvid=1a67f37e-ad1e-40d9-b14f-8bf3408c6830&algo_exp_id=1a67f37e-ad1e-40d9-b14f-8bf3408c6830-2&pdp_ext_f=%7B%22order%22%3A%22587%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.21%210.99%21%21%216.21%210.99%21%402101e2b617771756833746186e93f0%2110000001217668253%21sea%21US%217446788148%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000203545005&curPageLogUid=DiJwBbgZZ32D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000293169703%7C_p_origin_prod%3A,$0.99,$1.98,,,
n/a,1,Timing Belt,n/a,https://www.aliexpress.us/item/3256806230097622.html?spm=a2g0o.productlist.main.10.3c36c687BV1lAt&algo_pvid=63b5e2b7-b8a0-4ad5-994f-bdfc497c8ff9&algo_exp_id=63b5e2b7-b8a0-4ad5-994f-bdfc497c8ff9-9&pdp_ext_f=%7B%22order%22%3A%22223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.37%210.99%21%21%2122.92%216.72%21%402101d6fe17775973201908345e0a8a%2112000037088879424%21sea%21US%217446788148%21ABX%211%210%21n_tag%3A-29910%3Bd%3A67ce4d4a%3Bm03_new_user%3A-29895%3BpisId%3A5000000203520967&curPageLogUid=Dl3947EX6SHI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006416412374%7C_p_origin_prod%3A,$3.23,$3.23,,,
n/a,1,Weapon Motor Screws,n/a,https://www.homedepot.com/p/Everbilt-M3-0-5-x-12mm-Zinc-Flat-Head-Phillips-Drive-Machine-Screw-4-Pieces-837751/321071710,$1.95,$1.95,,,
n/a,4,Drive Motor Screw,n/a,https://www.metricscrews.us/index.php?main_page=product_info&cPath=98_290_337&products_id=12400,$0.65,$2.60,,,
